Blue,Joni Mitchell,http://upload.wikimedia.org/wikipedia/en/e/e1/Bluealbumcover.jpg,156
Unknown Pleasures,Joy Division,http://upload.wikimedia.org/wikipedia/en/5/5a/UnknownPleasuresVinyl.jpg,157
The Party Never Ends,Juice Wrld,http://upload.wikimedia.org/wikipedia/en/8/87/Juice_Wrld_-_The_Party_Never_Ends.png,158
My World 2.0,Justin Beiber,http://upload.wikimedia.org/wikipedia/en/b/b9/Myworld2.jpg,159
Purpose,Justin Beiber,http://upload.wikimedia.org/wikipedia/en/2/27/Justin_Bieber_-_Purpose_%28Official_Album_Cover%29.png,160
Golden Hour,Kacey Musgraves,http://upload.wikimedia.org/wikipedia/en/6/65/Kacey_Musgraves_-_Golden_Hour.png,161
The College Dropout,Kanye West,http://upload.wikimedia.org/wikipedia/en/a/a3/Kanyewest_collegedropout.jpg,162
Yeezus,Kanye West,http://upload.wikimedia.org/wikipedia/en/0/03/Yeezus_album_cover.png,163
Hounds of Love,Kate Bush,http://upload.wikimedia.org/wikipedia/en/4/47/Alanis_Morissette_-_Jagged_Little_Pill.jpg,164
Teenage Dream,Katy Perry,http://upload.wikimedia.org/wikipedia/en/9/9d/Katy_Perry_-_Teenage_Dream_%28album%29.png,165
Breakaway,Kelly Clarkson,http://upload.wikimedia.org/wikipedia/en/5/56/Breakaway_Album.PNG,166
GNX,Kendrick Lamar,http://upload.wikimedia.org/wikipedia/en/9/93/Kendrick_Lamar_-_GNX.png,167
To Pimp a Butterfly,Kendrick Lamar,http://upload.wikimedia.org/wikipedia/en/f/f6/Kendrick_Lamar_-_To_Pimp_a_Butterfly.png,168
Breathless,Kenny G,http://upload.wikimedia.org/wikipedia/en/8/8e/Kenny_G-Breathless_%28album_cover%29.jpg,169
In the Court of the Crimson King,King Crimson,http://upload.wikimedia.org/wikipedia/en/8/84/In_the_Court_of_the_Crimson_King_-_40th_Anniversary_Box_Set_-_Front_cover.jpeg,170
Trans-Europe Express,Kraftwerk,http://upload.wikimedia.org/wikipedia/en/5/57/Trans-Europe_Express_German.png,171
The Fame,Lady Gaga,http://upload.wikimedia.org/wikipedia/en/d/dd/Lady_Gaga_%E2%80%93_The_Fame_album_cover.png,172
Born to Die,Lana Del Rey,http://upload.wikimedia.org/wikipedia/en/2/29/BornToDieAlbumCover.png,173
The Miseducation of Lauryn Hill,Lauryn Hill,http://upload.wikimedia.org/wikipedia/en/9/99/The_Miseducation_of_Lauryn_Hill.png,174
This is Happening,LCD Soundsystem,http://upload.wikimedia.org/wikipedia/en/7/7e/Lcdthisishappening.jpg,175
Led Zeppelin,Led Zeppelin,http://upload.wikimedia.org/wikipedia/en/e/ef/Led_Zeppelin_-_Led_Zeppelin_%281969%29_front_cover.png,176
Songs of Leonard Cohen,Leonard Cohen,http://upload.wikimedia.org/wikipedia/en/4/4c/SongsOfLeonardCohen.jpeg,177
Come Over When You're Sober,Lil Peep,http://upload.wikimedia.org/wikipedia/en/e/e5/LilPeep-480px.jpg,178
Tha Carter III,Lil Wayne,http://upload.wikimedia.org/wikipedia/en/c/c8/CarterIII.jpg,179
Chocolate Starfish and the Hot Dog Flavored Water,Limp Bizkit,http://upload.wikimedia.org/wikipedia/en/3/38/Limp_Bizkit_Chocolate_Starfish_and_the_Hotdog_Flavored_Water.jpg,180
Hybrid Theory,Linkin Park,http://upload.wikimedia.org/wikipedia/en/2/2a/Linkin_Park_Hybrid_Theory_Album_Cover.jpg,181
Here's Little Richard,Little Richard,http://upload.wikimedia.org/wikipedia/en/c/c0/Hereslittlerichard.jpeg,182
Exile in Guyville,Liz Phair,http://upload.wikimedia.org/wikipedia/en/0/00/Liz_Phair_-_Exile_in_Guyville.jpg,183
Mama Said Knock You Out,LL Cool J,http://upload.wikimedia.org/wikipedia/en/7/7e/Mama_Said_Knock_You_Out_%28LL_Cool_J_album_-_cover_art%29.jpg,184
Sorry for Party Rocking,LMAO,http://upload.wikimedia.org/wikipedia/en/4/49/LMFAO_-_Sorry_For_Party_Rocking.png,185
Pure Heroine,Lorde,http://upload.wikimedia.org/wikipedia/commons/f/fe/Lorde_Pure_Heroine.png,186
Transformer,Lou Reed,http://upload.wikimedia.org/wikipedia/en/f/f1/Loureedtransformer.jpeg,187
Forever Changes,Love,http://upload.wikimedia.org/wikipedia/en/c/c8/Love_-_forever_changes.jpg,188
Kala,M.I.A,http://upload.wikimedia.org/wikipedia/en/c/cf/M.I.A._-_Kala.png,189
